City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,10.91,64,5,3.24,AU,1691530329
1,grytviken,-54.2811,-36.5092,-3.43,80,31,3.76,GS,1691530329
2,port-aux-francais,-49.35,70.2167,1.05,69,94,9.67,TF,1691530329
3,udachny,66.4167,112.4,15.25,67,10,1.81,RU,1691530330
4,tiksi,71.6872,128.8694,15.04,53,9,1.47,RU,1691530330
5,bilibino,68.0546,166.4372,4.58,64,100,2.89,RU,1691530330
6,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1691530331
7,ciudad lazaro cardenas,17.9583,-102.2,31.78,70,2,5.65,MX,1691530331
8,west island,-12.1568,96.8225,24.99,83,75,5.14,CC,1691530331
9,leava,-14.3,-178.1667,27.43,73,28,0.81,WF,1691530331
10,blackmans bay,-43.0167,147.3167,3.07,94,39,2.98,AU,1691530332
11,albany,42.6001,-73.9662,22.96,86,82,1.34,US,1691530201
12,port mathurin,-19.6833,63.4167,22.44,65,14,9.9,MU,1691530332
13,khromtau,50.2503,58.4347,18.51,68,31,3.3,KZ,1691530333
14,puerto ayora,-0.7393,-90.3518,28.98,86,58,3.13,EC,1691530333
15,puerto natales,-51.7236,-72.4875,1.64,99,100,0.92,CL,1691530333
16,akcakale,36.7111,38.9475,29.39,48,0,3.65,TR,1691530334
17,port lincoln,-34.7333,135.8667,12.4,44,0,8.99,AU,1691530334
18,pingliang,35.5392,106.6861,20.44,96,95,2.88,CN,1691530334
19,jamestown,42.097,-79.2353,23.07,71,40,7.2,US,1691530050
20,alaghsas,17.0187,8.0168,27.42,63,93,4.99,NE,1691530335
21,dudinka,69.4058,86.1778,15.81,64,71,1.04,RU,1691530335
22,olonkinbyen,70.9221,-8.7187,4.59,92,100,7.48,SJ,1691530335
23,port douglas,-16.4833,145.4667,20.67,79,83,5.24,AU,1691530336
24,college,64.8569,-147.8028,21.22,80,100,3.09,US,1691530336
25,waitangi,-43.9535,-176.5597,8.23,95,100,0.45,NZ,1691530336
26,tazacorte,28.629,-17.9293,23.42,90,0,1.03,ES,1691530337
27,fale old settlement,-9.3852,-171.2468,27.95,76,94,5.41,TK,1691530337
28,adamstown,-25.066,-130.1015,22.34,87,92,15.35,PN,1691530337
29,aasiaat,68.7098,-52.8699,4.52,70,50,1.84,GL,1691530337
30,beyneu,45.3167,55.2,29.18,34,0,3.61,KZ,1691530338
31,santa terezinha,-29.9002,-50.0904,16.04,69,100,7.69,BR,1691530338
32,tabou,4.423,-7.3528,24.42,88,97,5.79,CI,1691530339
33,edinburgh of the seven seas,-37.0676,-12.3116,12.18,90,100,12.77,SH,1691530339
34,mount gambier,-37.8333,140.7667,6.6,69,0,4.83,AU,1691530340
35,quatre cocos,-20.2078,57.7625,22.27,68,27,5.78,MU,1691530341
36,iqaluit,63.7506,-68.5145,5.85,86,75,4.12,CA,1691530219
37,utrik,11.2278,169.8474,28.43,73,59,6.17,MH,1691530342
38,talnakh,69.4865,88.3972,16.73,62,94,1.03,RU,1691530343
39,sirte,31.2089,16.5887,25.84,68,0,4.31,LY,1691530343
40,egilsstadir,65.2653,-14.3948,7.95,76,20,5.14,IS,1691530343
41,fort st. john,56.2499,-120.8529,20.94,60,75,3.6,CA,1691530343
42,youkounkoun,12.5333,-13.1333,25.5,92,77,1.18,GN,1691530344
43,port elizabeth,-33.918,25.5701,15.16,94,75,3.6,ZA,1691530344
44,hamilton,39.1834,-84.5333,28.76,54,75,4.12,US,1691529748
45,iskateley,67.6803,53.1512,9.52,74,87,0.67,RU,1691530345
46,hilo,19.7297,-155.09,29.04,58,0,4.12,US,1691530345
47,longyearbyen,78.2186,15.6401,8.91,71,0,4.12,SJ,1691530346
48,oranjemund,-28.55,16.4333,12.37,92,3,5.16,NA,1691530346
49,hermanus,-34.4187,19.2345,11.56,82,0,5.32,ZA,1691530346
50,jinghong,21.991,100.7341,22.79,100,100,0.71,CN,1691530347
51,itaituba,-4.2761,-55.9836,33.09,62,20,1.54,BR,1691530347
52,enriquillo,17.9,-71.2333,34.82,73,0,3.9,DO,1691530347
53,al kharijah,25.4514,30.5464,34.87,28,1,7.6,EG,1691530348
54,smithers,54.7804,-127.1743,19.18,68,75,2.57,CA,1691530348
55,behshahr,36.6923,53.5526,26.48,64,2,0.94,IR,1691530348
56,ushuaia,-54.8,-68.3,3.81,75,40,1.03,AR,1691530141
57,greymouth,-42.4667,171.2,5.89,78,69,2.75,NZ,1691530349
58,punta arenas,-53.15,-70.9167,1.56,85,88,2.23,CL,1691530349
59,ust-nera,64.5667,143.2,14.53,55,84,0.96,RU,1691530350
60,panaba,21.2833,-88.2667,34.85,47,9,9.72,MX,1691530350
61,avarua,-21.2078,-159.775,23.03,60,20,3.6,CK,1691530350
62,stanley,54.868,-1.6985,12.81,72,0,3.09,GB,1691530321
63,tura,25.5198,90.2201,23.3,98,100,2.31,IN,1691530351
64,pimentel,-6.8367,-79.9342,24.16,69,40,8.23,PE,1691530351
65,isafjordur,66.0755,-23.124,10.98,60,24,1.17,IS,1691530352
66,georgetown,5.4112,100.3354,26.64,95,20,1.54,MY,1691530313
67,changyon,38.2508,125.0961,24.4,89,1,1.83,KP,1691530352
68,bethel,41.3712,-73.414,26.05,64,40,5.14,US,1691530352
69,nova sintra,14.8667,-24.7167,22.62,74,46,6.29,CV,1691530353
70,yellowknife,62.456,-114.3525,21.29,46,20,7.72,CA,1691530353
71,mala,-12.6581,-76.6308,19.85,78,50,3.89,PE,1691530353
72,mount pearl,47.5166,-52.7813,14.69,84,75,3.6,CA,1691530354
73,sitka,57.0531,-135.33,14.94,82,100,4.63,US,1691530355
74,thompson,55.7435,-97.8558,14.09,82,100,4.63,CA,1691530355
75,callao,-12.0667,-77.15,22.16,68,20,6.69,PE,1691530356
76,lihue,21.9789,-159.3672,32.58,68,40,7.2,US,1691530356
77,toliara,-23.35,43.6667,20.35,85,54,2.51,MG,1691530356
78,east london,-33.0153,27.9116,17.42,76,100,5.15,ZA,1691530356
79,mejit,10.2753,170.8646,28.27,73,85,6.37,MH,1691530357
80,bredasdorp,-34.5322,20.0403,9.18,88,0,1.47,ZA,1691530357
81,bubaque,11.2833,-15.8333,27.27,88,74,5.99,GW,1691530357
82,nouadhibou,20.931,-17.0347,21.99,88,0,6.69,MR,1691530357
83,saint-joseph,-21.3667,55.6167,18.21,76,33,3.31,RE,1691530358
84,kodiak,57.79,-152.4072,13.73,88,75,2.06,US,1691530358
85,kimbe,-5.5502,150.1429,26.61,70,84,4.83,PG,1691530358
86,holualoa,19.6228,-155.9522,28.91,62,0,6.17,US,1691530358
87,marat,25.0701,45.4615,30.85,7,1,3.63,SA,1691530359
88,ciudad choluteca,13.3003,-87.1908,34.79,41,95,2.36,HN,1691530359
89,chui,-33.6971,-53.4616,10.62,81,73,3.31,UY,1691530359
90,invercargill,-46.4,168.35,5.57,92,94,6.26,NZ,1691530359
91,eureka,40.8021,-124.1637,31.48,77,88,2.24,US,1691530088
92,almeria,37.1667,-2.3333,26.35,56,12,1.2,ES,1691530360
93,niamey,13.5137,2.1098,29.16,65,0,2.06,NE,1691530360
94,port saint john's,-31.6229,29.5448,18.26,72,92,4.54,ZA,1691530360
95,sai buri,6.7013,101.6168,26.65,87,99,1.58,TH,1691530361
96,batyrevo,55.0675,47.6111,17.31,65,0,2.33,RU,1691530361
97,dwarka,22.2394,68.9678,27.16,81,100,9.28,IN,1691530361
98,borda da mata,-22.2742,-46.1653,18.94,70,72,2.61,BR,1691530362
99,atafu village,-8.5421,-172.5159,28.66,69,90,5.4,TK,1691530362
100,vila velha,-20.3297,-40.2925,23.97,88,20,6.69,BR,1691530362
101,embrun,44.5639,6.4953,15.1,56,74,0.39,FR,1691530362
102,cabo san lucas,22.8909,-109.9124,37.56,41,20,7.72,MX,1691530155
103,enewetak,11.3474,162.3373,28.67,76,98,7.08,MH,1691530363
104,qaqortoq,60.7167,-46.0333,5.89,85,9,2.43,GL,1691530363
105,whitehorse,60.7161,-135.0538,17.43,67,75,5.66,CA,1691530364
106,bardai,11.65,7.2333,21.78,91,99,3.44,NG,1691530364
107,hailar,49.2,119.7,13.04,86,8,1.58,CN,1691530364
108,zhaozhou,45.6833,125.3167,17.98,96,92,3.2,CN,1691530365
109,at taj,24.2049,23.2857,28.81,31,0,4.93,LY,1691530365
110,olyokminsk,60.3736,120.4264,17.61,78,66,1.81,RU,1691530365
111,arraial do cabo,-22.9661,-42.0278,21.92,83,100,4.63,BR,1691530366
112,vadso,70.0744,29.7487,21.49,88,0,2.06,NO,1691530366
113,den helder,52.9599,4.7593,15.99,77,75,3.13,NL,1691530367
